,Mean,Farmer No.,Zeros,Eligibility,loan
456,92476.85384615386,464,0.65,1,565740.7529411765
457,74312.94999999997,465,2.075,2,451961.80116959044
458,5369.121153846154,466,1.05,2,32654.30409356725
459,12127.330769230772,467,1.825,2,73756.86549707604
460,20443.619230769225,468,1.625,2,124335.46198830404
461,103034.49230769229,469,2.25,2,626642.5263157893
462,7946.855769230769,470,5.3,2,48331.75438596491
463,8859.726923076925,471,1.8,2,53883.719298245625
464,2213.9615384615386,472,1.05,2,13465.029239766081
465,18861.265384615384,473,5.85,2,114711.78947368421
466,10883.919230769232,474,6.15,2,66194.59649122808
467,54685.590384615374,475,0.05,1,334547.1411764705
468,129853.675,476,5.2,2,789753.3450292398
469,70318.53653846153,477,0.9,2,427668.2923976607
470,20781.946153846155,478,0.0,2,126393.12280701754
471,53591.15961538459,479,3.3,2,325934.5380116957
472,34213.98846153846,480,0.55,2,208085.07602339183
473,30019.676923076924,481,5.575,2,182575.81286549708
474,62960.505769230775,482,3.65,2,382917.6959064328
475,7918.159615384616,483,0.0,2,48157.228070175435
476,36948.84038461539,484,0.0,2,224718.09356725152
477,3313.2980769230767,485,0.45,2,20151.052631578943
478,28697.917307692307,486,0.05,2,174537.04093567253
479,368.32499999999993,487,10.125,2,2240.1052631578946
480,7997.421153846153,488,8.85,2,48639.2865497076
481,44663.6326923077,489,4.8,2,271638.46783625736
482,16796.330769230764,490,3.225,2,102153.12280701753
483,120851.69423076922,491,2.25,2,735004.4561403508
484,32791.909615384604,492,1.0,2,199436.1754385964
485,33752.96153846154,493,0.325,2,205281.1695906433
486,2894.43076923077,494,4.375,2,17603.55555555556
487,4333.742307692307,495,8.75,2,26357.263157894733
488,74999.16153846153,496,0.6,2,456135.2514619882
489,34506.29230769229,497,2.275,2,209862.8304093566
490,49610.81346153847,498,1.3,2,301726.5847953217
491,57750.838461538464,499,1.625,2,351233.16959064326
492,9978.915384615388,500,3.55,2,60690.479532163765
493,37994.70961538462,501,0.65,2,231078.93567251466
494,10286.055769230768,502,0.075,2,62558.46783625731
495,116742.79807692308,503,0.0,1,714191.2352941176
496,4705.230769230769,504,3.15,2,28616.608187134498
497,1125.2499999999998,505,7.15,2,6843.625730994151
498,7172.678846153851,506,4.875,2,43623.30994152049
499,38530.876923076925,507,0.825,2,234339.83625730994
500,1917.319230769231,508,3.775,2,11660.88888888889
501,6151.028846153846,509,0.525,2,37409.76608187135
502,18356.490384615376,510,4.95,2,111641.81286549704
503,54834.15769230769,511,3.45,2,333494.2923976608
