,Mean,Zeros
137,5872.911538461538,1.85
138,1886.5019230769235,8.175
139,4281.342307692308,3.65
140,16997.53461538461,2.35
141,11338.667307692309,0.825
142,1619.3057692307693,6.125
143,954.348076923077,4.725
144,54702.47692307692,2.475
145,3407.961538461538,1.625
146,4436.192307692307,1.575
147,11295.113461538462,1.5
148,45798.025000000016,0.875
149,7192.086538461537,8.05
150,2403.2250000000004,4.275
151,19123.30769230768,6.25
152,41106.65576923077,0.975
153,39806.02115384616,0.875
154,83307.3173076923,2.375
155,44654.19807692306,0.875
156,15525.284615384622,5.4
157,11488.93846153846,0.0
158,13877.990384615385,1.025
159,23070.38846153846,0.325
160,43481.878846153835,0.0
161,5324.003846153846,1.425
162,3994.938461538461,0.525
163,18131.671153846153,1.4
164,20761.228846153852,0.0
165,24973.434615384616,0.15
166,39525.98269230769,1.425
167,1050.7307692307684,9.6
168,7429.124999999997,4.825
169,24354.21153846153,1.75
170,4766.398076923078,0.0
171,9578.66923076923,0.9
172,20625.686538461545,1.1
173,3031.0788461538455,2.55
174,36043.19038461539,0.0
175,6836.803846153845,0.65
176,41272.751923076925,0.0
177,26359.144230769238,0.0
178,289.4192307692308,9.075
179,32368.44038461538,0.925
180,9054.461538461537,6.55
181,79923.68076923078,6.2
182,29819.44423076923,0.225
183,90353.58653846152,0.6
184,11184.207692307695,2.025
185,8328.369230769229,0.0
186,4717.536538461538,2.525
187,25194.940384615376,0.0
188,52860.85961538462,2.275
189,1495.8038461538458,0.325
190,111065.17307692308,0.0
191,29445.61346153846,1.05
192,1720.201923076923,0.3
193,56672.219230769224,0.575
194,2692.2134615384607,3.825
195,58196.17692307691,0.0
196,12091.167307692307,1.525
197,79017.86346153844,0.0
198,55700.523076923084,1.8
199,122689.98461538463,1.35
200,14066.867307692306,0.0
201,64257.27115384615,2.6
202,14303.673076923083,1.5
203,80031.6,0.3
204,88759.10576923077,1.125
205,40933.51538461538,0.0
206,47662.71538461538,0.175
207,1804.951923076923,0.9
208,42162.89807692308,2.45
209,6013.61923076923,0.625
210,1955.7461538461532,2.775
211,10354.049999999997,6.55
212,73572.47307692308,2.675
213,25856.571153846144,0.625
214,15512.667307692307,1.0
215,13863.523076923078,0.4
216,69802.65,0.65
217,2207.005769230769,0.45
218,1802.7557692307687,4.6
219,217184.6826923077,0.0
220,93751.13846153844,2.2
221,2799.4461538461546,3.775
222,150199.03461538462,0.25
223,80020.95192307694,1.65
224,22960.25192307692,0.0
225,9189.336538461543,4.35
226,119194.8923076923,0.0
227,52818.97115384615,0.625
228,65711.20576923079,1.175
229,17185.77884615384,1.2
230,61324.46346153845,0.375
231,94593.94423076924,0.25
232,1821.3576923076926,0.5
233,10299.694230769232,1.8
234,2950.0653846153846,3.25
235,3615.4269230769232,1.375
236,77006.48846153847,0.475
237,45193.13653846155,1.35
238,96644.42692307691,0.425
239,9954.332692307691,0.75
240,111473.89038461537,4.125
241,258.48846153846154,8.775
242,4522.336538461539,0.0
243,104556.2346153846,3.3
244,24257.503846153846,1.425
245,7397.711538461539,1.2
246,215574.3673076923,0.0
247,50198.376923076925,0.05
248,30553.698076923087,0.95
249,38881.46538461539,1.125
250,13401.49615384614,7.55
251,66695.44038461539,0.15
252,12357.448076923076,2.45
253,344.9211538461538,4.75
254,8849.150000000001,1.275
255,2462.0596153846154,3.85
256,2602.8365384615386,9.4
257,21952.70384615385,2.375
258,2681.4653846153847,3.4
259,175899.12884615385,0.7
260,35775.54615384615,0.0
261,14962.213461538468,0.725
262,43741.63846153846,0.175
263,64264.91346153844,1.45
264,25124.198076923083,0.15
